LSOA2011,LSOA.name.(2011),Local.Authority.District.code.(2019),Local.Authority.District.name.(2019),Index.of.Multiple.Deprivation.(IMD).Score,Index.of.Multiple.Deprivation.(IMD).Rank,Index.of.Multiple.Deprivation.(IMD).Decile,Index.of.Multiple.Deprivation.(IMD).Decile,Income.Score.(Rank,Income.Score.(Decile,Employment.Score.(rate),Employment.Score.(Rank,Employment.Score.(Decile,"Education,.Skills.and.Training.Score","Education,.Skills.and.Training.Rank","Education,.Skills.and.Training.Decile",Health.Deprivation.and.Disability.Score,Health.Deprivation.and.Disability.Rank,Health.Deprivation.and.Disability.Decile,Crime.Score,Crime.Rank,Crime.Decile,Barriers.to.Housing.and.Services.Score,Barriers.to.Housing.and.Services.Rank,Barriers.to.Housing.and.Services.Decile,Living.Environment.Score,Living.Environment.Rank,Living.Environment.Decile,Income.Depriv.Affecting.Children.Index.(IDACI).Score.(rate),Income.Depriv.Affecting.Children.Index.(IDACI).Score.(Rank,Income.Depriv.Affecting.Children.Index.(IDACI).Score.(Decile,Income.Depriv.Affecting.Older.People.(IDAOPI).Score.(rate),Income.Depriv.Affecting.Older.People.(IDAOPI).Score.(Rank,Income.Depriv.Affecting.Older.People.(IDAOPI).Score.(Decile,Children.and.Young.People.Sub-domain.Score,Children.and.Young.People.Sub-domain.Rank,Children.and.Young.People.Sub-domain.Decile,Adult.Skills.Sub-domain.Score,Adult.Skills.Sub-domain.Rank,Adult.Skills.Sub-domain.Decile,Geographical.Barriers.Sub-domain.Score,Geographical.Barriers.Sub-domain.Rank,Geographical.Barriers.Sub-domain.Decile,Wider.Barriers.Sub-domain.Score,Wider.Barriers.Sub-domain.Rank,Wider.Barriers.Sub-domain.Decile,Indoors.Sub-domain.Score,Indoors.Sub-domain.Rank,Indoors.Sub-domain.Decile,Outdoors.Sub-domain.Score,Outdoors.Sub-domain.Rank,Outdoors.Sub-domain.Decile
E01008964,Birmingham 107C,E08000025,Birmingham,37.57,325,6,7,298,5,0.173,285.5,5,19.649,413,7,1.005,188,3,0.451,280,5,25.81,507,8,42.456,282,5,0.259,325,6,0.286,301.5,5,0.029,401,7,0.336,415,7,-0.49,396.5,7,3,397,7,0.926,242,4,0.799,434,7
E01008965,Birmingham 107D,E08000025,Birmingham,21.124,507,8,9,534.5,9,0.076,526,9,5.121,567,9,0.407,433,7,0.723,163,3,20.016,599,10,50.13,164,3,0.11,520.5,9,0.141,498,8,-0.855,572,9,0.227,545,9,-0.254,306,5,1.383,586,10,1.109,148,3,1.025,279,5
E01008966,Birmingham 107E,E08000025,Birmingham,58.787,76,2,3,79,2,0.269,41,1,28.617,334,6,1.844,5,1,0.483,264,5,28.793,411,7,45.673,234,4,0.4,89.5,2,0.467,106,2,0.394,261,5,0.379,344.5,6,-0.774,494,8,3.831,269.5,5,1.025,194,4,0.857,400.5,7
E01008967,Birmingham 110A,E08000025,Birmingham,14.13,583,10,11,566,9,0.067,555,9,5.299,565,9,-0.244,610,10,0.249,385.5,7,25.747,508,8,29.183,519,9,0.048,601,10,0.105,562,9,-1.575,618,10,0.256,516,9,0.002,190,3,2.004,518,9,0.353,493,8,0.797,437,7
E01008968,Birmingham 110B,E08000025,Birmingham,15.081,574,9,10,560,9,0.067,555,9,2.81,597,10,-0.056,582,10,0.303,351,6,24.097,534,9,35.146,429,7,0.058,592.5,10,0.121,536.5,9,-1.398,604,10,0.205,562,9,-0.086,230,4,1.874,535,9,0.564,415,7,0.961,325.5,6
E01008969,Birmingham 117C,E08000025,Birmingham,22.734,484,8,9,445.5,7,0.077,520,9,4.971,569,9,0.172,518,9,0.675,178,3,22.833,559,9,52.764,114,2,0.158,451.5,8,0.193,421.5,7,-0.647,535,9,0.203,563,9,-0.124,245,4,1.704,558,9,1.297,60,1,0.701,492,8
E01008970,Birmingham 110C,E08000025,Birmingham,31.077,387,7,8,356,6,0.149,338,6,21.02,401,7,0.577,364,6,-0.105,509.5,8,32.033,308,5,34.714,437,7,0.251,336.5,6,0.148,489,8,0.13,365.5,6,0.338,412.5,7,0.049,170.5,3,3.152,374,6,0.673,359.5,6,0.679,505,8
E01008971,Birmingham 117D,E08000025,Birmingham,23.515,470,8,9,420.5,7,0.109,425,7,7.973,536,9,0.416,429,7,0.462,274,5,27.606,454,8,30.487,492,8,0.229,365,6,0.118,542.5,9,-0.707,544,9,0.265,504,8,-0.016,198.5,4,2.436,460,8,0.303,506,8,0.995,295.5,5
E01008972,Birmingham 118A,E08000025,Birmingham,51.82,161,3,4,194,4,0.249,70.5,2,34.56,287,5,1.632,16,1,0.229,396,7,34.345,219,4,31.423,477,8,0.387,107.5,2,0.308,262.5,5,0.612,185,3,0.405,307,5,0.073,159.5,3,3.523,323,6,0.568,413.5,7,0.588,568,9
E01008973,Birmingham 118B,E08000025,Birmingham,30.221,395,7,8,385,6,0.127,389,7,19.748,411,7,0.506,391,7,0.503,256,4,31.367,327,6,40.513,324,6,0.238,355.5,6,0.153,480.5,8,0.039,395,7,0.336,415,7,0.232,99.5,2,2.518,447,7,0.917,245.5,4,0.625,545,9
E01008974,Birmingham 118C,E08000025,Birmingham,20.684,518,9,10,495,8,0.085,499,8,7.384,543,9,0.088,545,9,0.201,407,7,34.294,222,4,35.966,412,7,0.125,500.5,8,0.161,465,8,-0.697,541,9,0.254,517.5,9,0.445,43,1,2.433,461,8,0.846,280.5,5,0.338,632,10
E01008975,Birmingham 118D,E08000025,Birmingham,19.943,531,9,10,541,9,0.086,496.5,8,12.183,492,8,0.343,460.5,8,0.479,266,5,16.423,633,10,42.793,278,5,0.096,537.5,9,0.141,498,8,-0.124,442,7,0.263,506,8,-0.51,400,7,1.047,600,10,0.974,222,4,0.705,489,8
E01008976,Birmingham 121A,E08000025,Birmingham,45.625,241,4,5,222,4,0.2,205,4,48.739,159,3,1.054,169,3,0.562,226,4,30.662,344,6,28.81,525,9,0.336,184,3,0.314,255.5,4,1.037,63,1,0.458,230,4,-0.22,287,5,3.483,330,6,0.372,486,8,0.726,480,8
E01008977,Birmingham 123A,E08000025,Birmingham,36.782,335,6,7,367.5,6,0.13,380,6,36.286,271,5,0.659,324.5,6,0.697,175,3,24.074,536,9,61.644,38,1,0.267,312.5,5,0.161,465,8,0.949,74,2,0.36,372,6,-0.268,312,5,2.275,483,8,1.465,21,1,1.014,286,5
E01008978,Birmingham 121B,E08000025,Birmingham,78.083,1,1,2,1,1,0.477,1,1,53.974,111,2,2.521,1,1,1.375,18,1,31.155,330,6,32.102,467,8,0.644,2,1,0.42,131.5,3,0.688,156,3,0.538,92,2,-0.705,474,8,4.105,214,4,0.558,417,7,0.678,506.5,8
E01008979,Birmingham 121C,E08000025,Birmingham,60.844,52,1,2,94,2,0.27,39,1,46.557,174,3,1.691,12,1,1.268,30,1,32.681,285,5,26.14,552,9,0.444,42,1,0.347,218,4,0.816,109,2,0.476,190.5,3,-0.236,295,5,3.852,267,5,0.418,474,8,0.344,631,10
E01008980,Birmingham 121D,E08000025,Birmingham,67.673,11,1,2,23.5,1,0.281,25.5,1,64.904,31,1,1.645,15,1,1.411,15,1,31.666,322,6,20.046,595,10,0.559,7,1,0.405,147,3,1.333,20,1,0.521,117,2,-0.469,387,7,3.979,246.5,4,-0.04,573,9,0.505,603,10
E01008981,Birmingham 110D,E08000025,Birmingham,21.275,505,8,9,522,9,0.095,466.5,8,2.33,604,10,0.214,506,8,0.753,154,3,18.48,616,10,48.379,187,3,0.076,576,9,0.136,509,8,-1.708,632,10,0.201,566,9,-0.604,432.5,7,1.637,567,9,0.962,225,4,1.232,150,3
E01008982,Birmingham 079A,E08000025,Birmingham,20.68,519,9,10,519,9,0.076,526,9,12.432,487,8,0.146,524,9,0.103,449,8,33.753,251,4,38.682,353,6,0.091,547,9,0.198,418,7,0.254,324,6,0.169,603,10,0.133,132.5,3,3.263,360,6,0.576,410,7,1.241,148,3
E01008984,Birmingham 074A,E08000025,Birmingham,41.678,292,5,6,316,5,0.177,277,5,25.156,361,6,1.286,78,2,-0.349,564,9,33.895,241,4,55.142,86,2,0.273,304,5,0.459,111,2,0.477,230.5,4,0.332,424,7,-0.406,358,6,4.212,200,4,1.196,97.5,2,1.216,158,3
E01008986,Birmingham 064A,E08000025,Birmingham,31.779,380,6,7,428,7,0.109,425,7,5.164,566,9,0.24,496,8,0.641,188,3,45.526,16,1,61.856,35,1,0.113,516,9,0.238,355.5,6,-0.742,549,9,0.218,548,9,0.234,96.5,2,4.751,89,2,1.458,23.5,1,1.053,262,5
E01008987,Birmingham 064B,E08000025,Birmingham,34.158,356,6,7,331,6,0.125,392,7,18.182,425,7,0.898,226,4,0.407,302,5,30.725,343,6,46.115,223,4,0.289,275,5,0.433,123,2,-0.014,410,7,0.326,435,7,-0.784,496.5,8,4.101,215,4,0.952,228.5,4,1.064,248,4
E01008988,Birmingham 064C,E08000025,Birmingham,29.542,401,7,8,400,7,0.122,397.5,7,3.018,591,10,0.741,287.5,5,0.54,237,4,41.155,37,1,35.449,424,7,0.11,520.5,9,0.277,314.5,5,-1.053,583,10,0.193,576,9,0.312,76.5,2,4.048,225,4,0.663,366,6,0.777,451,8
E01008989,Birmingham 064D,E08000025,Birmingham,28.452,410,7,8,462.5,8,0.111,420,7,10.824,508,8,0.445,418,7,0.94,88.5,2,36.227,127,2,41.626,298,5,0.094,540,9,0.229,371,6,-0.067,424,7,0.229,543.5,9,0.026,181,3,3.93,256.5,4,0.772,315,5,1.097,226,4
E01008990,Birmingham 064E,E08000025,Birmingham,8.186,622,10,11,625.5,10,0.017,630,10,0.656,638,10,-0.393,623,10,-0.677,607,10,34.827,188,3,23.011,575,9,0.046,604.5,10,0.042,626.5,10,-1.596,623,10,0.123,626,10,0.508,34.5,1,2.316,475,8,-0.02,571,9,0.786,443,7
E01008991,Birmingham 064F,E08000025,Birmingham,11.716,603,10,11,596.5,10,0.034,616,10,0.992,633,10,-0.63,636,10,1.105,57,1,27.229,469,8,18.296,606,10,0.065,582.5,10,0.066,605.5,10,-1.583,621,10,0.149,619,10,0.503,36.5,1,0.687,616,10,-0.655,625,10,0.952,332.5,6
E01008992,Birmingham 079C,E08000025,Birmingham,12.844,596,10,11,632,10,0.013,634,10,1.202,629,10,-0.488,631,10,0.418,296,5,37.041,103,2,41.268,307,5,0.029,628,10,0.043,625,10,-1.153,590,10,0.111,634,10,0.616,18,1,2.395,466,8,0.776,313,5,1.059,255.5,4
E01008994,Birmingham 074B,E08000025,Birmingham,21.737,498,8,9,495,8,0.094,472,8,5.926,556,9,0.064,553,9,-0.1,504.5,8,36.166,132,3,41.924,294,5,0.123,505.5,8,0.17,450.5,8,-0.444,503,8,0.194,575,9,0.401,54.5,1,2.954,405,7,0.756,322,6,1.163,185,3
E01008995,Birmingham 134A,E08000025,Birmingham,55.428,113,2,3,37.5,1,0.212,169,3,34.808,283,5,1.569,29,1,0.456,277.5,5,36.22,128,2,34.282,439,7,0.564,6,1,0.636,32,1,0.49,227,4,0.425,277.5,5,-0.371,348,6,4.487,159,3,0.114,546,9,1.565,39,1
E01008996,Birmingham 074C,E08000025,Birmingham,45.816,237,4,5,161,3,0.194,229,4,31.471,312,5,0.827,253.5,4,0.537,239.5,4,41.148,38,1,30.852,489,8,0.289,275,5,0.53,81,2,0.234,334,6,0.427,274,5,-0.126,246,4,4.786,79,2,0.09,550,9,1.323,111,2
E01008997,Birmingham 074D,E08000025,Birmingham,23.356,472,8,9,445.5,7,0.099,454,8,9.295,524,9,-0.229,609,10,0.627,197,4,41.202,36,1,25.658,556,9,0.188,407,7,0.081,592,10,-0.146,446,7,0.216,550.5,9,0.724,11,1,2.868,413,7,-0.048,574,9,1.06,254,4
E01008998,Birmingham 031A,E08000025,Birmingham,51.657,166,3,4,204.5,4,0.227,121.5,2,44.596,189,3,0.895,228,4,0.58,221,4,31.701,321,6,59.072,52,1,0.337,182,3,0.312,259,5,0.884,90,2,0.449,244,4,-0.231,292,5,3.695,296,5,1.148,124,2,1.639,28,1
E01008999,Birmingham 031B,E08000025,Birmingham,42.242,285,5,6,344,6,0.181,269,5,33.812,292,5,0.835,250,4,0.875,107,2,30.219,365,6,55.493,81,2,0.204,392,7,0.265,328,6,0.465,235,4,0.419,285,5,0.006,189,3,2.92,409,7,1.112,145,3,1.449,58.5,1
E01009000,Birmingham 031C,E08000025,Birmingham,54.211,129,3,4,232.5,4,0.223,133.5,3,35.757,275,5,1.11,149,3,1.184,38,1,37.864,88,2,60.062,44,1,0.392,98.5,2,0.308,262.5,5,0.788,122.5,2,0.386,333,6,-0.223,290,5,4.534,148.5,3,1.313,51,1,1.302,122.5,2
E01009001,Birmingham 018A,E08000025,Birmingham,27.305,421,7,8,480,8,0.107,428,7,15.362,459,8,0.491,397,7,0.345,331,6,30.527,352,6,54.533,90,2,0.087,554,9,0.15,486,8,-0.308,478.5,8,0.327,433.5,7,0.293,79.5,2,2.155,500,8,1.36,40,1,0.685,502.5,8
E01009002,Birmingham 023A,E08000025,Birmingham,71.83,4,1,2,3,1,0.323,5,1,44.466,192,3,1.204,109,2,1.306,26,1,43.491,25,1,42.348,285,5,0.62,3,1,0.389,174,3,0.772,126.5,2,0.466,210.5,4,0.253,86,2,4.48,162,3,0.819,294,5,1.055,260.5,5
E01009003,Birmingham 018B,E08000025,Birmingham,29.563,400,7,8,465.5,8,0.135,370.5,6,11.65,497,8,0.654,327,6,0.41,300,5,25.372,514,9,59.565,47,1,0.052,598,10,0.14,501.5,8,-0.678,539,9,0.312,454,8,-0.425,368,6,2.816,419,7,1.343,43,1,1.181,176,3
E01009005,Birmingham 025A,E08000025,Birmingham,31.464,385,7,8,380.5,6,0.13,380,6,16.994,438,7,0.966,200,4,-0.136,519,9,35.583,153,3,39.53,339,6,0.244,344,6,0.181,438,7,-0.151,448,7,0.329,429.5,7,0.555,26,1,2.306,476,8,0.846,280.5,5,0.722,481.5,8
E01009006,Birmingham 023C,E08000025,Birmingham,34.044,357,6,7,409,7,0.119,403,7,15.437,457,8,0.763,278,5,1.12,51,1,21.015,589,10,67.17,10,1,0.211,382.5,6,0.16,467.5,8,0.001,405.5,7,0.29,480.5,8,-0.665,456,8,2.245,487,8,1.601,9,1,1.134,205.5,4
E01009007,Birmingham 023D,E08000025,Birmingham,48.366,205,4,5,286.5,5,0.182,266.5,5,32.941,298,5,1.151,132,3,1.002,74,2,30.531,351,6,66.97,11,1,0.31,241.5,4,0.357,199,4,0.647,172,3,0.383,339.5,6,-1.046,565,9,4.194,202,4,1.47,20,1,1.435,67,2
E01009008,Birmingham 028A,E08000025,Birmingham,20.881,512,8,9,526,9,0.099,454,8,18.959,421,7,0.365,447.5,7,-0.123,516,9,20.993,590,10,38.608,354,6,0.096,537.5,9,0.151,484,8,-0.354,489,8,0.369,359,6,-0.302,322,6,1.689,564,9,0.767,317,5,0.841,411.5,7
E01009009,Birmingham 025B,E08000025,Birmingham,24.528,455,8,9,476.5,8,0.123,395,7,19.447,414,7,0.373,443,7,-0.195,539,9,34.734,198,4,29.606,514,9,0.138,479.5,8,0.103,567,9,0.098,377,6,0.325,436.5,7,0.595,22,1,1.984,524,9,0.447,464,8,0.665,514.5,9
E01009011,Birmingham 028B,E08000025,Birmingham,24.675,452,8,9,407.5,7,0.115,410,7,25.352,359,6,0.356,457,8,0.045,463,8,23.349,549,9,30.471,494,8,0.184,418.5,7,0.2,415,7,0.246,330,6,0.368,362,6,-0.328,325,6,2.23,489,8,0.236,522,9,1.091,228,4
E01009012,Birmingham 028C,E08000025,Birmingham,25.112,442,7,8,453.5,8,0.098,458.5,8,18.448,423,7,0.329,465.5,8,0.233,393.5,7,22.168,569,9,54.029,97,2,0.211,382.5,6,0.14,501.5,8,-0.223,463,8,0.352,393.5,7,-0.487,395,7,2.247,486,8,1.244,77,2,0.977,316,5
E01009013,Birmingham 031D,E08000025,Birmingham,52.593,145,3,4,281,5,0.217,148,3,24.558,362,6,1.089,154.5,3,1.368,19,1,34.934,186,3,74.833,2,1,0.242,347,6,0.266,325.5,6,0.375,275,5,0.341,408.5,7,-0.191,278.5,5,4.098,217,4,1.725,3,1,1.445,62.5,1
E01009014,Birmingham 090A,E08000025,Birmingham,38.311,320,5,6,338,6,0.143,355,6,44.483,191,3,0.409,432,7,-0.361,566,9,35.593,152,3,60.137,43,1,0.231,364,6,0.303,274.5,5,0.873,91.5,2,0.45,240,4,-0.18,271,5,4.164,206,4,1.413,32,1,1.048,264,5
E01009015,Birmingham 089G,E08000025,Birmingham,31.911,378,6,7,371,6,0.12,401,7,17.724,428,7,0.833,251,4,0.851,117,2,29.561,383,6,36.846,398,7,0.216,376,6,0.331,242,4,-0.096,436,7,0.331,426.5,7,-0.735,482,8,3.913,258,5,0.465,454,8,1.283,132,3
E01009016,Birmingham 098A,E08000025,Birmingham,54.21,130,3,4,215.5,4,0.22,141,3,37.803,257,5,1.303,75,2,0.661,182,3,38.262,79,2,61.661,37,1,0.302,254,4,0.435,122,2,0.354,282,5,0.467,208.5,4,0.101,145.5,3,4.069,222,4,1.464,22,1,1.02,283,5
E01009017,Birmingham 097A,E08000025,Birmingham,35.034,348,6,7,328.5,6,0.13,380,6,30.597,317,5,0.451,415.5,7,0.549,232,4,28.563,417,7,50.234,161,3,0.266,314.5,5,0.251,339,6,-0.039,418,7,0.449,244,4,-0.55,414,7,3.579,314,5,0.978,220.5,4,1.351,102,2
E01009018,Birmingham 090B,E08000025,Birmingham,37.159,328,6,7,375.5,6,0.132,374.5,6,17.034,437,7,1.097,152,3,0.979,76,2,34.038,235,4,50.556,152,3,0.239,353,6,0.207,402,7,-0.457,507,8,0.356,384.5,6,-0.314,324,6,4.122,211,4,1.036,185.5,3,1.252,144,3
E01009019,Birmingham 103A,E08000025,Birmingham,56.833,100,2,3,156.5,3,0.232,107,2,50.93,140,3,1.185,119,2,1.105,57,1,32.895,276.5,5,51.585,132,3,0.374,124.5,2,0.403,150,3,0.809,110,2,0.507,145.5,3,-1.123,579,10,4.541,146,3,1.217,89.5,2,0.838,417,7
E01009020,Birmingham 103B,E08000025,Birmingham,44.623,255,4,5,235,4,0.183,263,5,36.113,272,5,0.935,208.5,4,0.469,270,5,28.302,430,7,53.342,104,2,0.374,124.5,2,0.334,238,4,0.215,340,6,0.468,205.5,4,-0.764,491,8,3.748,287,5,1.233,85,2,0.952,332.5,6
E01009021,Birmingham 103C,E08000025,Birmingham,51.554,167,3,4,172,3,0.205,188,3,54.66,102,2,1.197,115,2,0.465,273,5,33.088,270,5,44.323,252,4,0.352,163.5,3,0.418,134,3,1.215,32,1,0.472,199,4,-0.589,429.5,7,4.283,191.5,3,0.913,249,4,1.002,289,5
E01009022,Birmingham 098B,E08000025,Birmingham,35.39,343,6,7,356,6,0.148,341.5,6,24.481,363,6,0.671,320,5,0.613,210,4,27.725,451,8,51.661,131,3,0.212,380.5,6,0.276,316.5,5,-0.058,422,7,0.396,321.5,5,-0.587,427,7,3.481,331,6,1.235,83,2,0.785,444.5,7
E01009023,Birmingham 098C,E08000025,Birmingham,21.331,503,8,9,483,8,0.077,520,9,11.984,493,8,-0.003,571,9,0.703,170.5,3,23.07,556,9,44.78,247,4,0.109,524.5,9,0.189,427,7,-0.557,522,9,0.308,459,8,-0.248,303,5,2.026,516,9,1.023,195,4,0.775,453.5,8
E01009024,Birmingham 103D,E08000025,Birmingham,48.019,208,4,5,251,4,0.172,290,5,52.861,121,2,1.251,89,2,0.959,83,2,33.506,260,5,38.313,366,6,0.327,202,4,0.342,229,4,1.185,35,1,0.464,215.5,4,-0.423,367,6,4.174,204,4,0.857,273.5,5,0.569,576,9
E01009025,Birmingham 103E,E08000025,Birmingham,52.178,152,3,4,176.5,3,0.203,195,4,52.154,127.5,2,1.075,162,3,0.8,135,3,30.886,339,6,52.17,121,2,0.437,49.5,1,0.356,202.5,4,1.359,16,1,0.42,283,5,-1.367,613,10,4.32,185,3,1.305,54,1,0.612,555,9
E01009026,Birmingham 090C,E08000025,Birmingham,57.483,91,2,3,134,3,0.216,152,3,59.24,61,1,0.923,213,4,0.181,419,7,44.939,18,1,62.439,32,1,0.34,176.5,3,0.387,177.5,3,0.867,94,2,0.55,76.5,2,0.241,93,2,4.681,111.5,2,1.353,41.5,1,1.39,85,2
E01009028,Birmingham 090D,E08000025,Birmingham,44.801,254,4,5,298,5,0.172,290,5,46.957,171,3,0.735,290,5,0.146,430.5,7,39.299,58,1,59.614,46,1,0.265,317,5,0.3,281,5,0.797,119.5,2,0.482,183.5,3,-0.028,204.5,4,4.441,169,3,1.294,61,1,1.318,116,2
E01009029,Birmingham 090E,E08000025,Birmingham,43.725,268,5,6,271.5,5,0.164,306.5,5,41.012,232,4,0.615,348,6,0.467,272,5,31.942,315,5,62.882,30,1,0.317,229.5,4,0.356,202.5,4,0.702,154,3,0.448,247,4,-0.481,392,7,4.027,231,4,1.372,38,1,1.382,88,2
E01009030,Birmingham 098D,E08000025,Birmingham,25.194,440,7,8,426,7,0.103,437,7,14.837,464,8,0.298,477,8,0.292,358,6,33.526,258,5,36.873,397,7,0.146,467.5,8,0.2,415,7,-0.618,531,9,0.344,403,7,0.237,95,2,2.944,406,7,0.657,367,6,0.921,352,6
E01009031,Birmingham 105C,E08000025,Birmingham,20.967,510,8,9,537.5,9,0.093,478.5,8,7.48,542,9,0.328,467,8,0.33,336,6,29.968,369,6,38.08,368,6,0.072,577.5,10,0.133,513.5,9,-1.266,594,10,0.283,491,8,0.232,99.5,2,2.222,490,8,0.681,358,6,0.985,305,5
E01009032,Birmingham 108A,E08000025,Birmingham,19.494,535,9,10,468,8,0.083,505.5,8,12.652,483,8,0.036,563.5,9,0.236,391.5,7,26.02,502,8,31.759,472,8,0.143,472,8,0.166,457,8,-0.571,525,9,0.317,448.5,8,-0.164,264,5,2.461,455,8,0.45,460.5,8,0.87,391.5,7
E01009033,Birmingham 103F,E08000025,Birmingham,45.626,240,4,5,240.5,4,0.178,274.5,5,45.584,185,3,1.033,177,3,0.614,206.5,4,32.375,295,5,43.2,274,5,0.322,216.5,4,0.369,193.5,4,0.823,108,2,0.467,208.5,4,-0.418,366,6,4.023,233,4,1.031,191,3,0.589,566.5,9
E01009034,Birmingham 108B,E08000025,Birmingham,16.587,563,9,10,502.5,8,0.072,539,9,7.488,541,9,-0.12,593,10,-0.591,599,10,30.414,356,6,33.213,453,8,0.123,505.5,8,0.124,531,9,-1.099,589,10,0.278,492,8,0.208,104.5,2,2.391,469,8,0.64,376.5,6,0.607,557,9
E01009035,Birmingham 108C,E08000025,Birmingham,25.035,444.5,7,8,405,7,0.116,408.5,7,12.433,486,8,0.284,482,8,0.121,442,7,28.89,405,7,38.323,365,6,0.158,451.5,8,0.221,381.5,6,-0.448,505.5,8,0.305,464.5,8,0.041,174.5,3,2.558,437,7,0.794,307.5,5,0.747,467,8
E01009036,Birmingham 108D,E08000025,Birmingham,18.644,545,9,10,558,9,0.079,516.5,9,9.125,527,9,0.126,535.5,9,0.361,319,5,31.785,318,5,32.442,462,8,0.079,565.5,9,0.119,540.5,9,-1.041,582,10,0.298,469,8,0.262,85,2,2.514,448,7,0.55,420.5,7,0.73,476,8
E01009037,Birmingham 105D,E08000025,Birmingham,22.826,481,8,9,510.5,8,0.096,462.5,8,7.055,549,9,0.721,299,5,0.185,415,7,35.041,183,3,30.398,496,8,0.081,563.5,9,0.175,446.5,7,-0.82,564,9,0.258,513,8,0.426,45.5,1,2.662,429,7,0.218,527.5,9,1.113,214,4
E01009039,Birmingham 132A,E08000025,Birmingham,13.915,588,10,11,556,9,0.054,581,10,5.89,557.5,9,0.137,530.5,9,-0.245,549,9,26.513,488,8,29.945,505,8,0.09,549.5,9,0.105,562,9,-0.854,570.5,9,0.241,524.5,9,0.142,128.5,2,1.764,546,9,0.431,471,8,0.727,479,8
E01009040,Birmingham 132B,E08000025,Birmingham,15.415,569,9,10,556,9,0.072,539,9,9.595,521,9,0.101,541,9,0.137,436,7,20.596,595,10,31.362,479,8,0.11,520.5,9,0.08,593,10,-0.511,517,9,0.272,496.5,8,0.058,164,3,0.711,614,10,0.515,432.5,7,0.694,496.5,8
E01009041,Birmingham 132C,E08000025,Birmingham,16.596,562,9,10,534.5,9,0.071,543,9,10.008,515,9,-0.074,587,10,-0.681,608,10,25.309,516,9,42.13,288,5,0.105,530,9,0.143,496,8,-0.482,511,8,0.275,493.5,8,0.049,170.5,3,1.779,544,9,0.988,215.5,4,0.597,563,9
E01009042,Birmingham 132D,E08000025,Birmingham,18.483,547,9,10,532,9,0.064,562.5,9,14.649,466,8,0.04,561,9,0.271,369,6,19.441,609,10,47.32,198,4,0.139,475.5,8,0.135,510.5,8,0.077,384,6,0.266,503,8,-0.94,543,9,2.169,498,8,1.144,127.5,2,0.654,524,9
E01009043,Birmingham 097B,E08000025,Birmingham,41.675,293,5,6,273.5,5,0.172,290,5,31.475,311,5,0.853,243,4,-0.101,506,8,28.717,413,7,61.153,41,1,0.26,322,6,0.356,202.5,4,0.193,349,6,0.432,266.5,5,-1.234,594,10,4.01,237,4,1.439,27,1,1.062,251.5,4
E01009044,Birmingham 097C,E08000025,Birmingham,34.928,349,6,7,291.5,5,0.145,350,6,30.2,322,6,0.397,437,7,-0.261,553,9,28.56,418,7,49.118,173,3,0.223,370,6,0.401,151.5,3,0.124,367,6,0.428,271,5,-0.879,525.5,9,3.859,265,5,1.117,142.5,3,0.913,356.5,6
E01009045,Birmingham 097D,E08000025,Birmingham,32.378,372,6,7,366,6,0.142,357,6,21.687,398,7,0.578,363,6,0.298,354.5,6,28.352,428,7,47.044,202,4,0.186,410,7,0.218,386.5,7,-0.088,432,7,0.371,354,6,-0.52,404,7,3.506,326,6,1.044,179.5,3,0.932,349.5,6
E01009046,Birmingham 097E,E08000025,Birmingham,22.988,478,8,9,510.5,8,0.094,472,8,11.121,505,8,0.129,534,9,0.468,271,5,28.008,440,7,48.092,190,3,0.093,542,9,0.164,460,8,-0.52,518,9,0.294,473,8,0.008,187.5,3,2.453,457,8,1.059,173.5,3,0.979,312.5,5
E01009047,Birmingham 040C,E08000025,Birmingham,59.253,68,2,3,79,2,0.274,34,1,50.927,141,3,1.026,181.5,3,0.621,200,4,35.462,154,3,44.412,250,4,0.297,265.5,5,0.582,54.5,1,0.2,347,6,0.563,58.5,1,-1.84,635,10,4.905,52.5,1,0.7,352,6,1.47,53,1
E01009048,Birmingham 040D,E08000025,Birmingham,63.744,30,1,2,64,1,0.325,4,1,37.596,258,5,1.352,65,2,1.108,53.5,1,36.072,135,3,36.903,396,7,0.28,289.5,5,0.615,41,1,-0.276,471,8,0.516,131.5,3,-1.093,574,9,4.888,59,1,0.48,448.5,7,1.266,141.5,3
E01009049,Birmingham 032A,E08000025,Birmingham,36.808,334,6,7,352,6,0.16,315.5,5,19.296,416,7,0.635,337,6,0.848,119,2,34.596,203,4,46.016,225,4,0.186,410,7,0.304,272.5,5,-0.301,475,8,0.368,362,6,-0.098,234,4,3.906,261,5,0.771,316,5,1.449,58.5,1
E01009050,Birmingham 035A,E08000025,Birmingham,42.623,282,5,6,189,3,0.172,290,5,38.673,251,4,0.427,424,7,0.276,365.5,6,36.578,113,2,39.962,334,6,0.377,115,2,0.414,141,3,0.536,210.5,4,0.452,235.5,4,-0.54,411,7,4.685,110,2,0.667,363,6,1.173,179,3
E01009051,Birmingham 033A,E08000025,Birmingham,48.525,203,4,5,200.5,4,0.188,247.5,4,41.62,222,4,0.545,376.5,6,0.507,253.5,4,35.393,159,3,64.577,19,1,0.304,252,4,0.411,144,3,0.568,198,4,0.472,199,4,-1.085,572,9,4.809,73,2,1.328,44,1,1.61,32,1
